province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-06,15.788888888888888,18.98888888888889,12.377777777777778,15.799999999999999,18.822222222222223,12.255555555555555,0.4444444444444444,0.4444444444444444,0.0,3.6666666666666665,82.55555555555556,11.055555555555555,25.41111111111111,7.842222222222222,1019.8222222222222,88.55555555555556,12.755555555555555,0.0,1.4844444444444445,22.6657,106.2522,3.533333333333333,10.801111111111112,12,49,51,149,1970-01-21 10:16:42.100000000,1970-01-21 10:17:20.986666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-07,17.433333333333334,21.655555555555555,14.622222222222222,18.266666666666666,22.62222222222222,15.144444444444446,1.8111111111111111,1.8111111111111111,0.0,9.0,85.55555555555556,9.866666666666667,22.244444444444444,10.17,1020.0222222222224,72.0,14.766666666666667,0.0,1.8788888888888888,22.6657,106.2522,7.2811111111111115,10.796666666666667,12,49,51,49,1970-01-21 10:18:08.533333333,1970-01-21 10:18:47.386666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-08,16.87777777777778,22.522222222222222,12.2,16.522222222222222,22.155555555555555,11.222222222222221,0.05555555555555555,0.05555555555555555,0.0,0.3333333333333333,73.44444444444444,11.344444444444443,26.311111111111114,14.725555555555555,1021.7222222222222,34.333333333333336,11.511111111111111,0.0,2.67,22.6657,106.2522,9.682222222222222,10.788888888888888,12,50,3,22,1970-01-21 10:19:34.966666666,1970-01-21 10:20:13.806666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-09,16.066666666666666,21.044444444444444,12.044444444444444,15.922222222222224,20.155555555555555,11.977777777777778,0.3333333333333333,0.3333333333333333,0.0,1.8888888888888888,79.22222222222223,11.033333333333333,26.98888888888889,11.927777777777777,1019.9666666666667,30.444444444444443,12.133333333333333,0.0,2.1666666666666665,22.6657,106.2522,9.524444444444445,10.78111111111111,12,50,3,143,1970-01-21 10:21:01.406666666,1970-01-21 10:21:40.220000000,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-10,16.61111111111111,22.61111111111111,12.133333333333333,16.62222222222222,22.133333333333333,12.144444444444444,0.0,0.0,0.0,0.0,76.88888888888889,8.755555555555555,22.633333333333333,14.185555555555556,1018.7666666666667,22.88888888888889,11.977777777777778,0.0,2.502222222222222,22.6657,106.2522,10.033333333333333,10.776666666666666,12,50,3,199,1970-01-21 10:22:27.853333333,1970-01-21 10:23:06.646666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-11,16.27777777777778,19.544444444444444,12.977777777777778,16.755555555555556,20.12222222222222,12.8,3.6555555555555554,3.6555555555555554,0.0,3.0,82.88888888888889,7.3999999999999995,18.12222222222222,6.333333333333333,1019.0333333333333,69.22222222222223,13.3,0.0,1.228888888888889,22.6657,106.2522,2.9344444444444444,10.77,12,50,51,170,1970-01-21 10:23:54.280000000,1970-01-21 10:24:33.046666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-12,17.233333333333334,19.433333333333334,15.288888888888888,18.566666666666666,20.41111111111111,16.255555555555556,4.6,4.6,0.0,10.222222222222221,94.88888888888889,11.577777777777778,26.38888888888889,4.141111111111111,1016.1333333333334,91.88888888888889,16.4,0.0,0.8155555555555556,22.6657,106.2522,0.09222222222222223,10.763333333333334,12,50,51,205,1970-01-21 10:25:20.720000000,1970-01-21 10:25:59.466666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-13,17.422222222222224,20.87777777777778,12.177777777777777,16.577777777777776,20.72222222222222,9.411111111111111,7.333333333333333,7.333333333333333,0.0,6.333333333333333,75.44444444444444,22.577777777777776,50.24444444444444,7.685555555555556,1021.1111111111111,73.22222222222223,12.566666666666666,0.0,2.1055555555555556,22.6657,106.2522,4.935555555555556,10.76,12,50,51,28,1970-01-21 10:26:47.146666666,1970-01-21 10:27:25.893333333,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-14,13.2,18.288888888888888,9.366666666666667,10.977777777777778,16.37777777777778,6.844444444444445,0.0,0.0,0.0,0.0,59.666666666666664,13.066666666666666,29.43333333333333,15.166666666666666,1023.8333333333334,13.222222222222221,5.155555555555555,0.0,2.718888888888889,22.6657,106.2522,10.035555555555556,10.758888888888889,12,50,3,36,1970-01-21 10:28:13.586666666,1970-01-21 10:28:52.306666666,Đông
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-15,13.522222222222222,19.72222222222222,8.866666666666667,12.444444444444445,18.633333333333333,7.566666666666667,0.0,0.0,0.0,0.0,71.44444444444444,10.38888888888889,25.188888888888886,15.775555555555554,1020.0666666666667,2.111111111111111,8.11111111111111,0.0,2.58,22.6657,106.2522,10.038888888888888,10.751111111111111,12,51,0,173,1970-01-21 10:29:40.020000000,1970-01-21 10:30:18.726666666,Đông
