province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Huế,Bắc Trung Bộ,2025-12-06,21.82,24.16,19.64,23.06,24.82,20.880000000000003,3.9,3.9,0.0,12.4,82.4,20.08,40.18,13.768,1017.56,52.4,18.52,0.0,2.886,16.4637,107.5909,9.716,11.188,12,49,53,66,1970-01-21 10:16:41.088,1970-01-21 10:17:21.348,Đông,,,
Huế,Bắc Trung Bộ,2025-12-07,21.14,24.28,18.0,22.46,25.380000000000003,19.14,0.94,0.94,0.0,5.8,79.6,17.34,35.7,16.014,1017.34,43.0,17.28,0.0,3.152,16.4637,107.5909,10.788,11.186,12,49,51,81,1970-01-21 10:18:07.500,1970-01-21 10:18:47.772,Đông,,,
Huế,Bắc Trung Bộ,2025-12-08,20.72,24.3,18.42,22.44,25.14,20.04,3.96,3.96,0.0,14.6,84.2,16.380000000000003,34.86,12.28,1017.92,87.4,17.78,0.0,2.46,16.4637,107.5909,7.523999999999999,11.178,12,50,53,54,1970-01-21 10:19:33.948,1970-01-21 10:20:14.196,Đông,,,
Huế,Bắc Trung Bộ,2025-12-09,21.04,23.68,18.26,22.68,24.56,19.76,3.04,3.04,0.0,11.6,83.0,17.259999999999998,34.2,9.642,1017.24,99.4,17.919999999999998,0.0,2.146,16.4637,107.5909,4.958,11.175999999999998,12,50,51,55,1970-01-21 10:21:00.372,1970-01-21 10:21:40.608,Đông,,,
Huế,Bắc Trung Bộ,2025-12-10,20.98,22.14,20.24,23.119999999999997,24.139999999999997,22.24,10.18,10.18,0.0,20.6,90.4,15.4,29.380000000000003,3.986,1016.18,100.0,19.28,0.0,1.058,16.4637,107.5909,0.0,11.168,12,50,61,285,1970-01-21 10:22:26.808,1970-01-21 10:23:07.008,Đông,,,
Huế,Bắc Trung Bộ,2025-12-11,22.28,24.84,20.42,24.98,27.3,22.34,13.96,13.96,0.0,18.6,91.8,18.380000000000003,36.72,12.17,1015.42,79.0,20.78,0.0,2.248,16.4637,107.5909,8.120000000000001,11.166,12,50,63,56,1970-01-21 10:23:53.256,1970-01-21 10:24:33.456,Đông,,,
Huế,Bắc Trung Bộ,2025-12-12,23.06,25.8,21.48,25.42,28.3,23.64,2.68,2.68,0.0,11.6,87.4,18.78,36.58,15.242,1014.6,46.6,20.8,0.0,2.916,16.4637,107.5909,9.854,11.162,12,50,51,83,1970-01-21 10:25:19.680,1970-01-21 10:25:59.868,Đông,,,
Huế,Bắc Trung Bộ,2025-12-13,22.66,25.639999999999997,20.06,24.96,27.68,21.94,5.4,5.4,0.0,8.0,87.2,19.52,39.02,15.144,1015.8,59.8,20.28,0.0,2.864,16.4637,107.5909,10.276,11.158,12,50,61,88,1970-01-21 10:26:46.128,1970-01-21 10:27:26.268,Đông,,,
Huế,Bắc Trung Bộ,2025-12-14,21.42,22.58,20.48,22.66,23.92,21.42,25.679999999999996,25.679999999999996,0.0,21.6,89.6,23.32,44.94,7.779999999999999,1017.8,94.6,19.58,0.0,1.762,16.4637,107.5909,3.4579999999999997,11.156,12,50,63,42,1970-01-21 10:28:12.540,1970-01-21 10:28:52.716,Đông,,,
Huế,Bắc Trung Bộ,2025-12-15,20.9,22.18,20.119999999999997,22.86,24.04,21.880000000000003,6.62,6.62,0.0,19.0,89.2,13.7,27.72,7.359999999999999,1017.56,96.0,18.92,0.0,1.634,16.4637,107.5909,2.3899999999999997,11.156,12,51,55,60,1970-01-21 10:29:38.988,1970-01-21 10:30:19.128,Đông,,,
Huế,Bắc Trung Bộ,2025-12-16,21.36,23.22,20.16,23.979999999999997,25.68,22.76,8.879999999999999,8.879999999999999,0.0,18.4,91.2,14.9,29.8,8.522,1016.46,87.4,19.82,0.0,1.6919999999999995,16.4637,107.5909,4.956,11.152,12,51,55,76,1970-01-21 10:31:05.400,1970-01-21 10:31:45.552,Đông,,,
Huế,Bắc Trung Bộ,2025-12-17,21.5,22.880000000000003,20.5,23.72,25.04,22.54,17.0,17.0,0.0,19.8,90.6,20.54,39.38,6.34,1017.42,97.6,19.84,0.0,1.448,16.4637,107.5909,1.356,11.152,12,51,63,40,1970-01-21 10:32:31.848,1970-01-21 10:33:11.988,Đông,,,
Huế,Bắc Trung Bộ,2025-12-18,21.8,24.8,19.66,23.72,26.28,21.3,1.42,1.42,0.0,6.0,81.4,15.36,31.92,15.175999999999998,1017.0,55.8,18.24,0.0,3.004,16.4637,107.5909,9.994,11.148,12,51,51,36,1970-01-21 10:33:58.260,1970-01-21 10:34:38.412,Đông,,,
Huế,Bắc Trung Bộ,2025-12-19,21.380000000000003,23.48,19.84,23.92,25.839999999999996,22.32,1.7,1.7,0.0,9.0,87.6,11.58,24.56,11.53,1014.5,83.2,19.139999999999997,0.0,2.1740000000000004,16.4637,107.5909,7.609999999999999,11.148,12,51,51,11,1970-01-21 10:35:24.708,1970-01-21 10:36:04.848,Đông,,,
Huế,Bắc Trung Bộ,2025-12-20,21.52,23.86,19.96,24.18,26.22,22.54,6.56,6.56,0.0,17.8,89.0,14.36,29.18,11.612,1014.26,84.6,19.54,0.0,2.17,16.4637,107.5909,6.978,11.148,12,51,53,8,1970-01-21 10:36:51.132,1970-01-21 10:37:31.260,Đông,,,
Huế,Bắc Trung Bộ,2025-12-21,21.34,22.84,20.16,24.04,25.7,22.58,16.759999999999998,16.759999999999998,0.0,23.6,93.6,17.619999999999997,37.88,8.193999999999999,1015.36,94.4,20.26,0.0,1.5239999999999998,16.4637,107.5909,3.6,11.148,12,51,63,31,1970-01-21 10:38:17.568,1970-01-21 10:38:57.708,Đông,,,
Huế,Bắc Trung Bộ,2025-12-22,22.04,24.48,20.3,24.14,26.619999999999997,22.34,8.379999999999999,8.379999999999999,0.0,18.6,88.8,19.380000000000003,39.4,12.564,1014.66,71.6,20.06,0.0,2.414,16.4637,107.5909,9.316,11.148,12,52,53,100,1970-01-21 10:39:43.992,1970-01-21 10:40:24.120,Đông,,,
Huế,Bắc Trung Bộ,2025-12-23,22.52,25.479999999999997,20.04,24.66,27.32,22.119999999999997,1.42,1.42,0.0,6.4,86.0,18.14,36.72,16.122,1013.48,53.6,19.880000000000003,0.0,3.008,16.4637,107.5909,10.28,11.148,12,52,51,105,1970-01-21 10:41:10.428,1970-01-21 10:41:50.568,Đông,,,
Huế,Bắc Trung Bộ,2025-12-24,22.22,25.68,19.18,24.94,28.28,21.26,1.06,1.06,0.0,6.0,87.6,15.24,31.74,15.958000000000002,1012.72,66.2,19.86,0.0,2.9539999999999997,16.4637,107.5909,10.332,11.148,12,52,51,86,1970-01-21 10:42:36.852,1970-01-21 10:43:16.992,Đông,,,
Huế,Bắc Trung Bộ,2025-12-25,21.1,22.72,19.54,22.96,25.72,19.160000000000004,29.7,29.7,0.0,22.8,92.6,24.500000000000004,43.260000000000005,7.12,1015.58,99.0,19.8,0.0,1.506,16.4637,107.5909,2.238,11.148,12,52,63,5,1970-01-21 10:44:03.288,1970-01-21 10:44:43.428,Đông,,,
Huế,Bắc Trung Bộ,2025-12-26,18.72,19.74,17.839999999999996,19.06,20.78,17.82,12.0,12.0,0.0,20.0,90.0,23.18,42.06,5.254,1018.3,99.2,16.98,0.0,1.236,16.4637,107.5909,0.006,11.152,12,52,61,0,1970-01-21 10:45:29.712,1970-01-21 10:46:09.852,Đông,,,
Huế,Bắc Trung Bộ,2025-12-27,18.82,20.02,17.8,20.52,22.1,18.98,6.640000000000001,6.640000000000001,0.0,15.0,91.0,13.18,25.639999999999997,4.792,1017.7,98.8,17.32,0.0,0.988,16.4637,107.5909,0.166,11.152,12,52,55,263,1970-01-21 10:46:56.148,1970-01-21 10:47:36.288,Đông,,,
Huế,Bắc Trung Bộ,2025-12-28,19.92,22.4,18.1,21.9,24.22,20.0,4.54,4.54,0.0,15.2,89.2,12.94,28.660000000000004,13.25,1017.22,87.2,18.04,0.0,2.31,16.4637,107.5909,8.802,11.156,12,52,51,20,1970-01-21 10:48:22.560,1970-01-21 10:49:02.736,Đông,,,
Huế,Bắc Trung Bộ,2025-12-29,20.74,23.66,18.380000000000003,22.6,24.880000000000003,20.28,1.84,1.84,0.0,8.0,86.6,15.52,30.660000000000004,14.297999999999998,1015.22,57.8,18.3,0.0,2.664,16.4637,107.5909,9.452,11.158,12,1,51,46,1970-01-21 10:49:49.008,1970-01-21 10:50:29.148,Đông,,,
