province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season
Hà Tĩnh,Bắc Trung Bộ,2025-12-06,21.119999999999997,23.3,18.98,22.82,24.8,20.660000000000004,4.9799999999999995,4.9799999999999995,0.0,15.6,87.6,17.84,31.880000000000003,11.524000000000001,1018.4799999999999,69.8,18.9,0.0,2.176,18.356,105.9,7.252,11.072,12,49,53,2,1970-01-21 10:16:41.688,1970-01-21 10:17:21.552,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-07,20.68,23.96,18.1,22.84,26.360000000000003,20.240000000000002,1.52,1.52,0.0,6.2,90.2,17.82,33.7,13.652000000000001,1017.8399999999999,76.2,18.9,0.0,2.38,18.356,105.9,9.162,11.07,12,49,53,6,1970-01-21 10:18:08.124,1970-01-21 10:18:47.964,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-08,20.8,23.2,18.94,21.740000000000002,23.619999999999997,19.380000000000003,2.38,2.38,0.0,11.4,84.2,20.66,41.34,11.110000000000001,1019.26,70.4,17.96,0.0,2.262,18.356,105.9,8.07,11.062000000000001,12,50,51,11,1970-01-21 10:19:34.560,1970-01-21 10:20:14.400,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-09,20.14,22.56,18.119999999999997,21.22,23.520000000000003,18.919999999999998,2.3600000000000003,2.3600000000000003,0.0,11.2,85.0,15.1,30.419999999999998,9.248000000000001,1018.5200000000001,87.6,17.380000000000003,0.0,1.922,18.356,105.9,5.502000000000001,11.06,12,50,51,9,1970-01-21 10:21:01.008,1970-01-21 10:21:40.812,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-10,20.880000000000003,23.580000000000002,18.52,22.3,24.82,19.56,0.12,0.12,0.0,1.2,85.6,15.62,30.160000000000004,7.888,1017.46,91.8,18.259999999999998,0.0,1.7280000000000002,18.356,105.9,2.662,11.052000000000001,12,50,51,333,1970-01-21 10:22:27.432,1970-01-21 10:23:07.212,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-11,20.979999999999997,21.86,20.419999999999998,22.84,23.82,21.86,12.919999999999998,12.919999999999998,0.0,20.2,94.0,20.02,34.480000000000004,3.2299999999999995,1017.04,99.8,19.98,0.0,0.772,18.356,105.9,0.0,11.05,12,50,53,5,1970-01-21 10:23:53.868,1970-01-21 10:24:33.624,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-12,21.32,23.6,19.66,23.72,26.560000000000002,20.96,5.720000000000001,5.720000000000001,0.0,9.0,90.8,14.819999999999999,24.7,6.296,1015.4799999999999,91.0,19.7,0.0,1.324,18.356,105.9,1.264,11.041999999999998,12,50,53,322,1970-01-21 10:25:20.304,1970-01-21 10:26:00.072,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-13,21.86,24.52,20.16,24.560000000000002,27.660000000000004,19.76,26.18,26.18,0.0,16.6,94.4,30.24,51.92,8.114,1016.64,94.4,20.94,0.0,1.552,18.356,105.9,3.5840000000000005,11.041999999999998,12,50,63,46,1970-01-21 10:26:46.728,1970-01-21 10:27:26.472,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-14,18.1,20.34,16.919999999999998,17.14,20.04,15.7,33.22,33.22,0.0,20.2,89.4,28.619999999999997,50.18,4.482,1021.1200000000001,100.0,16.28,0.0,1.168,18.356,105.9,0.044,11.04,12,50,63,5,1970-01-21 10:28:13.164,1970-01-21 10:28:52.884,Đông
Hà Tĩnh,Bắc Trung Bộ,2025-12-15,19.020000000000003,21.32,16.76,18.880000000000003,21.9,16.0,0.45999999999999996,0.45999999999999996,0.0,3.6,78.8,17.44,32.480000000000004,7.442,1019.18,99.0,15.160000000000002,0.0,1.8519999999999999,18.356,105.9,1.0,11.032,12,51,3,321,1970-01-21 10:29:39.600,1970-01-21 10:30:19.332,Đông
