province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Hồ Chí Minh,Đông Nam Bộ,2025-12-06,25.82,29.96,22.04,30.119999999999997,34.72,25.54,0.4,0.4,0.0,2.2,79.4,10.1,20.32,17.85,1012.32,41.2,21.74,0.0,3.632,10.8967,106.7832,10.978,11.512,12,49,3,7,1970-01-21 10:16:40.680,1970-01-21 10:17:22.128,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-07,25.58,30.28,20.94,29.5,35.06,23.74,0.24,0.24,0.0,1.6,77.2,9.96,20.1,20.086,1012.1,69.0,21.06,0.0,4.108,10.8967,106.7832,11.02,11.51,12,49,51,1,1970-01-21 10:18:07.104,1970-01-21 10:18:48.552,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-08,24.84,29.52,20.1,27.22,33.32,21.08,0.0,0.0,0.0,0.0,69.8,12.68,25.92,20.53,1012.0,97.4,18.68,0.0,4.394,10.8967,106.7832,10.946,11.506,12,50,3,1,1970-01-21 10:19:33.552,1970-01-21 10:20:14.964,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-09,25.660000000000004,29.839999999999996,21.42,28.880000000000003,33.86,24.54,0.04,0.04,0.0,0.4,73.8,11.9,23.7,18.964,1011.12,98.0,20.360000000000003,0.0,4.1259999999999994,10.8967,106.7832,10.538,11.506,12,50,3,353,1970-01-21 10:20:59.976,1970-01-21 10:21:41.388,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-10,25.36,30.06,23.24,29.2,34.7,25.42,12.38,12.38,0.0,7.4,81.6,13.82,30.9,12.844,1010.6,94.4,21.86,0.0,2.82,10.8967,106.7832,6.554,11.5,12,50,63,10,1970-01-21 10:22:26.412,1970-01-21 10:23:07.812,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-11,26.339999999999996,30.839999999999996,22.86,30.660000000000004,34.92,27.339999999999996,5.82,5.82,0.0,3.0,82.0,15.32,39.82,13.652,1010.6,94.0,22.74,0.0,3.148,10.8967,106.7832,6.718000000000001,11.498,12,50,63,101,1970-01-21 10:23:52.836,1970-01-21 10:24:34.236,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-12,27.02,31.339999999999996,23.26,31.6,36.44,27.26,0.12,0.12,0.0,1.0,77.4,9.7,21.32,18.996,1010.28,80.2,22.44,0.0,4.032,10.8967,106.7832,10.91,11.496,12,50,3,91,1970-01-21 10:25:19.272,1970-01-21 10:26:00.648,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-13,26.56,31.54,23.04,32.1,37.94,27.24,9.42,9.42,0.0,4.4,85.2,11.6,27.44,18.009999999999998,1010.1,98.6,23.619999999999997,0.0,3.704,10.8967,106.7832,9.966,11.496,12,50,65,19,1970-01-21 10:26:45.708,1970-01-21 10:27:27.072,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-14,26.860000000000003,31.360000000000003,23.16,31.74,36.42,27.32,0.18,0.18,0.0,1.4,79.8,8.2,24.32,19.094,1010.28,91.2,22.68,0.0,3.942,10.8967,106.7832,10.896,11.492,12,50,51,10,1970-01-21 10:28:12.132,1970-01-21 10:28:53.508,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-15,26.76,31.32,23.1,31.04,36.059999999999995,26.48,0.0,0.0,0.0,0.0,75.4,10.52,20.58,18.91,1011.08,90.0,21.74,0.0,3.966,10.8967,106.7832,10.588,11.49,12,51,3,2,1970-01-21 10:29:38.568,1970-01-21 10:30:19.932,Đông,,,
