province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-06,16.02,20.8,11.78,15.84,21.58,11.06,0.04,0.04,0.0,0.4,81.0,10.44,25.639999999999997,11.792,1019.86,61.0,12.56,0.0,2.1420000000000003,21.8537,106.7615,7.469999999999999,10.858,12,49,3,93,1970-01-21 10:16:41.868,1970-01-21 10:17:20.952,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-07,17.619999999999997,22.98,14.14,18.3,23.36,14.54,1.1800000000000002,1.1800000000000002,0.0,5.6,84.2,9.9,23.62,11.898,1019.58,53.6,14.64,0.0,2.214,21.8537,106.7615,8.28,10.848,12,49,51,54,1970-01-21 10:18:08.316,1970-01-21 10:18:47.364,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-08,16.64,21.94,12.84,16.28,21.639999999999997,11.84,0.0,0.0,0.0,0.0,79.4,14.28,35.94,15.436000000000002,1021.32,18.8,12.72,0.0,2.668,21.8537,106.7615,10.152,10.84,12,50,3,27,1970-01-21 10:19:34.752,1970-01-21 10:20:13.788,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-09,16.32,21.48,12.04,16.32,21.96,11.62,0.1,0.1,0.0,0.8,78.8,7.88,21.0,12.398,1019.76,39.2,12.3,0.0,2.234,21.8537,106.7615,8.564,10.838,12,50,51,88,1970-01-21 10:21:01.188,1970-01-21 10:21:40.188,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-10,17.7,23.56,12.12,17.919999999999998,23.96,12.08,0.0,0.0,0.0,0.0,72.0,7.980000000000001,20.880000000000003,15.502,1018.46,35.2,12.08,0.0,2.8240000000000003,21.8537,106.7615,10.06,10.828,12,50,3,143,1970-01-21 10:22:27.612,1970-01-21 10:23:06.612,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-11,17.48,19.32,16.1,18.58,20.26,17.020000000000003,0.12,0.12,0.0,1.2,84.8,6.24,17.06,4.288,1018.62,97.6,14.86,0.0,0.966,21.8537,106.7615,0.142,10.828,12,50,51,6,1970-01-21 10:23:54.060,1970-01-21 10:24:33.024,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-12,18.34,20.58,16.5,19.82,21.52,17.919999999999998,9.32,9.32,0.0,8.8,92.6,12.58,33.04,5.894,1016.18,96.6,17.119999999999997,0.0,1.1,21.8537,106.7615,1.388,10.818,12,50,63,168,1970-01-21 10:25:20.496,1970-01-21 10:25:59.448,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-13,16.28,18.82,12.76,15.84,20.98,9.34,32.18,32.18,0.0,15.2,89.8,25.06,59.04,4.618,1020.52,99.2,14.5,0.0,1.0539999999999998,21.8537,106.7615,0.8099999999999999,10.818,12,50,63,33,1970-01-21 10:26:46.932,1970-01-21 10:27:25.848,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-14,12.76,16.46,10.06,9.74,13.74,6.0200000000000005,0.0,0.0,0.0,0.0,61.0,20.2,47.08,14.64,1023.46,40.4,5.26,0.0,2.87,21.8537,106.7615,9.974,10.81,12,50,3,29,1970-01-21 10:28:13.368,1970-01-21 10:28:52.284,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-15,14.12,20.86,9.36,13.24,20.3,7.959999999999999,0.0,0.0,0.0,0.0,73.0,12.919999999999998,31.619999999999997,15.05,1020.08,27.4,9.04,0.0,2.514,21.8537,106.7615,10.008,10.808,12,51,3,146,1970-01-21 10:29:39.792,1970-01-21 10:30:18.708,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-16,16.48,20.26,11.94,17.02,20.62,11.64,0.28,0.28,0.0,2.8,82.4,7.12,19.72,8.07,1019.06,94.2,13.3,0.0,1.53,21.8537,106.7615,3.178,10.808,12,51,51,121,1970-01-21 10:31:06.228,1970-01-21 10:31:45.120,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-17,16.64,20.24,14.14,16.380000000000003,19.3,13.6,2.5,2.5,0.0,8.4,84.8,15.76,37.16,10.598,1021.52,61.6,13.9,0.0,1.922,21.8537,106.7615,6.659999999999999,10.802,12,51,53,27,1970-01-21 10:32:32.652,1970-01-21 10:33:11.556,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-18,16.44,21.84,12.46,16.32,22.54,11.78,0.1,0.1,0.0,1.0,78.8,9.18,24.119999999999997,14.76,1019.58,13.0,12.44,0.0,2.5439999999999996,21.8537,106.7615,10.008,10.8,12,51,51,8,1970-01-21 10:33:59.088,1970-01-21 10:34:37.968,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-19,16.919999999999998,22.54,12.14,16.839999999999996,22.28,11.96,0.0,0.0,0.0,0.0,77.4,12.08,30.24,15.053999999999998,1015.44,10.6,12.52,0.0,2.758,21.8537,106.7615,10.058,10.8,12,51,3,160,1970-01-21 10:35:25.524,1970-01-21 10:36:04.416,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-20,18.08,22.74,14.46,19.28,23.619999999999997,15.14,1.06,1.06,0.0,5.6,85.4,7.540000000000001,21.8,11.96,1016.48,59.0,15.28,0.0,2.154,21.8537,106.7615,8.85,10.798,12,51,51,117,1970-01-21 10:36:51.960,1970-01-21 10:37:30.828,Đông,,,
