province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Ninh Bình,Đồng bằng sông Hồng,2025-12-06,20.28,24.119999999999997,17.78,21.3,25.14,18.58,0.0,0.0,0.0,0.0,76.8,11.42,21.24,11.166,1019.02,63.4,15.86,0.0,2.3259999999999996,20.4191,106.0219,6.252,10.948,12,49,3,59,1970-01-21 10:16:41.892,1970-01-21 10:17:21.300,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-07,20.72,25.08,17.56,22.82,26.8,19.5,0.62,0.62,0.0,4.4,86.8,12.46,24.76,10.58,1018.5,51.4,18.24,0.0,2.116,20.4191,106.0219,6.9,10.94,12,49,51,58,1970-01-21 10:18:08.340,1970-01-21 10:18:47.712,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-08,20.92,25.18,18.18,22.04,25.78,19.22,0.1399999999999999,0.1399999999999999,0.0,0.8,77.8,13.9,28.02,13.808000000000002,1020.02,43.0,16.5,0.0,2.736,20.4191,106.0219,10.01,10.932,12,50,3,6,1970-01-21 10:19:34.752,1970-01-21 10:20:14.112,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-09,20.119999999999997,25.58,15.68,21.1,25.880000000000003,16.52,0.18,0.18,0.0,1.0,77.4,12.42,23.48,13.082,1018.88,44.4,15.56,0.0,2.662,20.4191,106.0219,9.872,10.928,12,50,51,52,1970-01-21 10:21:01.212,1970-01-21 10:21:40.536,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-10,20.78,26.08,15.94,22.42,27.339999999999996,17.38,0.0,0.0,0.0,0.0,80.2,12.4,23.2,13.446000000000002,1017.8,50.6,16.84,0.0,2.68,20.4191,106.0219,9.214,10.922,12,50,3,64,1970-01-21 10:22:27.636,1970-01-21 10:23:06.960,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-11,21.16,22.8,19.880000000000003,23.06,23.82,22.24,0.3,0.3,0.0,2.0,81.4,11.88,24.2,4.748,1017.78,98.0,17.759999999999998,0.0,1.234,20.4191,106.0219,0.662,10.918,12,50,51,1,1970-01-21 10:23:54.072,1970-01-21 10:24:33.372,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-12,22.08,25.08,19.86,24.74,27.8,22.380000000000003,0.4,0.4,0.0,2.2,82.4,9.82,17.28,7.75,1015.54,79.4,18.880000000000003,0.0,1.652,20.4191,106.0219,2.278,10.912,12,50,51,108,1970-01-21 10:25:20.520,1970-01-21 10:25:59.784,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-13,20.46,22.82,16.34,22.139999999999997,26.44,15.12,24.28,24.28,0.0,19.8,92.2,25.14,46.239999999999995,4.1579999999999995,1018.38,98.0,19.119999999999997,0.0,0.996,20.4191,106.0219,0.508,10.908,12,50,63,1,1970-01-21 10:26:46.932,1970-01-21 10:27:26.220,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-14,16.78,19.14,14.74,15.64,18.24,13.919999999999998,3.06,3.06,0.0,6.2,68.4,15.28,28.880000000000003,6.99,1022.38,73.4,10.64,0.0,1.874,20.4191,106.0219,3.51,10.902,12,50,53,19,1970-01-21 10:28:13.380,1970-01-21 10:28:52.632,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-15,18.24,21.64,14.98,18.28,21.98,14.64,0.0,0.0,0.0,0.0,72.2,9.76,20.22,9.352,1019.56,63.6,12.98,0.0,1.974,20.4191,106.0219,4.446,10.902,12,51,3,43,1970-01-21 10:29:39.792,1970-01-21 10:30:19.044,Đông,,,
