province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-06,20.02,23.18,17.52,21.22,23.98,18.76,0.42,0.42,0.0,3.0,78.8,11.6,22.380000000000003,9.584,1018.9,82.6,16.1,0.0,2.03,21.1958,105.3701,4.401999999999999,10.898,12,49,51,113,1970-01-21 10:16:42.132,1970-01-21 10:17:21.372,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-07,20.52,24.44,18.22,22.76,27.119999999999997,19.84,1.06,1.06,0.0,6.0,86.4,8.26,19.08,9.456,1018.68,68.6,18.08,0.0,1.836,21.1958,105.3701,6.526000000000001,10.89,12,49,51,98,1970-01-21 10:18:08.580,1970-01-21 10:18:47.772,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-08,20.22,24.04,16.9,21.98,25.4,18.46,3.66,3.66,0.0,7.8,82.2,8.1,20.24,12.33,1020.52,53.4,16.740000000000002,0.0,2.3259999999999996,21.1958,105.3701,8.728,10.882,12,50,53,35,1970-01-21 10:19:35.004,1970-01-21 10:20:14.184,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-09,19.54,24.18,15.3,20.84,25.22,16.5,0.2,0.2,0.0,1.8,80.2,10.26,19.58,12.906,1018.98,30.8,15.78,0.0,2.448,21.1958,105.3701,9.876,10.878,12,50,51,129,1970-01-21 10:21:01.452,1970-01-21 10:21:40.608,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-10,20.0,25.22,15.56,21.619999999999997,26.74,16.8,0.0,0.0,0.0,0.0,80.0,8.36,16.919999999999998,14.74,1017.88,23.2,16.080000000000002,0.0,2.726,21.1958,105.3701,9.982,10.872,12,50,3,100,1970-01-21 10:22:27.888,1970-01-21 10:23:07.032,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-11,19.880000000000003,22.58,17.14,21.82,24.4,18.880000000000003,0.0,0.0,0.0,0.0,83.2,6.959999999999999,16.68,6.24,1018.12,78.2,16.9,0.0,1.274,21.1958,105.3701,0.8460000000000001,10.868,12,50,3,304,1970-01-21 10:23:54.312,1970-01-21 10:24:33.432,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-12,20.42,23.1,17.96,23.119999999999997,25.76,20.1,10.84,10.84,0.0,10.2,89.2,7.279999999999999,20.96,8.669999999999998,1015.54,76.2,18.5,0.0,1.618,21.1958,105.3701,6.008,10.862,12,50,63,107,1970-01-21 10:25:20.760,1970-01-21 10:25:59.856,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-13,20.64,23.2,18.380000000000003,22.48,24.979999999999997,18.54,5.84,5.84,0.0,11.6,87.8,17.9,34.480000000000004,5.128,1019.08,95.0,18.42,0.0,1.3,21.1958,105.3701,1.36,10.858,12,50,63,3,1970-01-21 10:26:47.172,1970-01-21 10:27:26.280,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-14,18.16,20.96,15.82,17.9,20.58,15.38,0.0,0.0,0.0,0.0,66.8,9.96,19.8,11.032,1022.34,58.8,11.68,0.0,2.286,21.1958,105.3701,8.238,10.852,12,50,3,56,1970-01-21 10:28:13.632,1970-01-21 10:28:52.692,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-15,17.68,22.66,13.7,17.84,22.76,13.72,0.0,0.0,0.0,0.0,74.6,10.02,19.5,14.063999999999998,1019.4,14.0,12.82,0.0,2.5759999999999996,21.1958,105.3701,9.956,10.852,12,51,3,61,1970-01-21 10:29:40.044,1970-01-21 10:30:19.116,Đông,,,
