province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-06,18.339999999999996,21.2,15.9,19.16,21.74,16.72,4.4799999999999995,4.4799999999999995,0.0,13.6,90.8,18.02,46.56,13.594,1018.0,79.0,16.740000000000002,0.0,2.238,14.7379,108.4018,8.558,11.288,12,49,51,18,1970-01-21 10:16:40.692,1970-01-21 10:17:21.336,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-07,17.52,21.44,15.06,17.580000000000002,20.96,15.06,1.24,1.24,0.0,5.8,85.4,18.619999999999997,48.6,14.724,1017.68,65.0,14.88,0.0,2.506,14.7379,108.4018,10.648,11.286,12,49,51,9,1970-01-21 10:18:07.140,1970-01-21 10:18:47.748,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-08,17.06,19.74,14.82,17.240000000000002,19.96,14.6,6.5200000000000005,6.5200000000000005,0.0,15.6,92.8,18.3,48.48,6.694,1017.42,97.6,15.84,0.0,1.17,14.7379,108.4018,1.468,11.28,12,50,61,37,1970-01-21 10:19:33.552,1970-01-21 10:20:14.172,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-09,17.68,20.2,15.44,18.08,20.24,15.52,1.88,1.88,0.0,9.6,91.0,16.240000000000002,42.12,9.224,1017.06,100.0,16.1,0.0,1.574,14.7379,108.4018,4.622,11.276,12,50,53,2,1970-01-21 10:21:00.000,1970-01-21 10:21:40.596,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-10,18.98,20.82,17.419999999999998,20.74,23.02,18.36,11.62,11.62,0.0,23.0,95.6,13.18,36.66,6.268000000000001,1015.7,99.8,18.26,0.0,1.11,14.7379,108.4018,1.4620000000000002,11.272,12,50,51,4,1970-01-21 10:22:26.412,1970-01-21 10:23:07.008,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-11,20.2,23.619999999999997,18.4,22.46,25.96,20.360000000000003,6.44,6.44,0.0,19.8,93.8,13.12,36.36,11.606,1015.9,90.2,19.1,0.0,2.018,14.7379,108.4018,6.928,11.268,12,50,51,17,1970-01-21 10:23:52.872,1970-01-21 10:24:33.432,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-12,20.44,24.22,17.94,22.56,26.380000000000003,19.78,4.220000000000001,4.220000000000001,0.0,14.0,89.6,11.68,30.54,14.576,1015.76,84.0,18.54,0.0,2.632,14.7379,108.4018,8.815999999999999,11.266,12,50,51,37,1970-01-21 10:25:19.296,1970-01-21 10:25:59.856,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-13,19.68,23.2,17.240000000000002,21.22,24.94,18.58,4.4799999999999995,4.4799999999999995,0.0,12.8,91.0,14.94,39.66,13.75,1016.48,93.8,18.08,0.0,2.398,14.7379,108.4018,9.022,11.262,12,50,51,10,1970-01-21 10:26:45.732,1970-01-21 10:27:26.268,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-14,18.660000000000004,20.04,17.52,19.72,21.16,18.28,13.919999999999998,13.919999999999998,0.0,23.8,97.2,18.2,48.68000000000001,7.342,1017.4,99.0,18.16,0.0,1.152,14.7379,108.4018,2.492,11.262,12,50,61,7,1970-01-21 10:28:12.168,1970-01-21 10:28:52.692,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-15,18.96,22.06,17.44,20.24,23.08,18.36,5.46,5.46,0.0,17.8,93.2,15.7,41.260000000000005,12.706,1017.32,95.2,17.759999999999998,0.0,2.1100000000000003,14.7379,108.4018,8.124,11.258,12,51,51,42,1970-01-21 10:29:38.592,1970-01-21 10:30:19.116,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-16,19.48,22.880000000000003,17.94,21.2,24.3,19.56,3.979999999999999,3.979999999999999,0.0,13.2,92.4,14.039999999999996,36.1,11.456,1016.64,91.6,18.119999999999997,0.0,2.014,14.7379,108.4018,6.959999999999999,11.256,12,51,51,7,1970-01-21 10:31:05.028,1970-01-21 10:31:45.552,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-17,19.04,21.619999999999997,17.06,20.5,23.54,17.619999999999997,22.98,22.98,0.0,14.0,94.8,16.32,46.64,8.67,1017.26,96.6,18.16,0.0,1.48,14.7379,108.4018,3.682,11.256,12,51,65,40,1970-01-21 10:32:31.452,1970-01-21 10:33:11.976,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-18,18.92,22.66,15.64,19.619999999999997,22.96,15.8,0.94,0.94,0.0,6.6,87.4,17.02,45.16,15.48,1016.68,78.6,16.619999999999997,0.0,2.652,14.7379,108.4018,10.73,11.256,12,51,51,2,1970-01-21 10:33:57.888,1970-01-21 10:34:38.412,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-19,19.6,22.360000000000003,17.78,21.16,23.66,19.119999999999997,0.58,0.58,0.0,3.2,90.2,14.5,37.3,10.602,1014.62,98.0,17.84,0.0,1.922,14.7379,108.4018,5.212,11.252,12,51,51,0,1970-01-21 10:35:24.312,1970-01-21 10:36:04.812,Đông,,,
