province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Sơn La,Trung du miền núi Bắc Bộ,2025-12-06,18.154545454545453,22.40909090909091,15.38181818181818,19.336363636363636,23.89090909090909,16.28181818181818,0.7090909090909091,0.7090909090909091,0.0,3.1818181818181817,84.45454545454545,7.645454545454545,19.745454545454542,10.043636363636365,1018.5090909090908,59.27272727272727,15.327272727272726,0.0,1.8672727272727272,21.3256,103.9188,7.254545454545454,10.88818181818182,12,49,3,59,1970-01-21 10:16:42.490909091,1970-01-21 10:17:21.703636363,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-07,18.07272727272727,22.59090909090909,15.327272727272726,19.154545454545453,23.8,15.918181818181818,0.4454545454545455,0.4454545454545455,0.0,2.1818181818181817,85.72727272727273,11.445454545454544,27.94545454545454,11.039090909090907,1018.4909090909092,55.54545454545455,15.47272727272727,0.0,2.0463636363636364,21.3256,103.9188,7.168181818181818,10.88,12,49,51,146,1970-01-21 10:18:08.940000000,1970-01-21 10:18:48.114545454,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-08,17.045454545454547,21.063636363636363,14.2,17.545454545454547,21.045454545454547,14.70909090909091,0.6090909090909091,0.6090909090909091,0.0,3.363636363636364,83.63636363636364,12.090909090909092,29.90909090909091,10.605454545454544,1020.5636363636364,56.18181818181818,14.1,0.0,1.9345454545454543,21.3256,103.9188,7.427272727272728,10.873636363636365,12,50,51,113,1970-01-21 10:19:35.383636363,1970-01-21 10:20:14.525454545,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-09,16.5,21.263636363636365,12.581818181818182,16.545454545454547,20.9,12.70909090909091,0.1363636363636363,0.1363636363636363,0.0,1.0,76.72727272727273,9.19090909090909,24.60909090909091,14.136363636363637,1019.5363636363636,35.09090909090909,12.018181818181818,0.0,2.4481818181818182,21.3256,103.9188,9.885454545454545,10.868181818181816,12,50,3,156,1970-01-21 10:21:01.805454545,1970-01-21 10:21:40.930909091,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-10,16.599999999999998,21.990909090909092,12.245454545454544,16.763636363636365,22.527272727272727,12.21818181818182,0.0,0.0,0.0,0.0,73.45454545454545,7.572727272727274,20.772727272727273,16.22909090909091,1018.6545454545457,10.0,11.518181818181818,0.0,2.772727272727273,21.3256,103.9188,10.02818181818182,10.86181818181818,12,50,2,56,1970-01-21 10:22:28.254545454,1970-01-21 10:23:07.363636363,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-11,16.363636363636363,19.645454545454545,13.072727272727274,17.263636363636365,20.654545454545453,13.090909090909092,0.9727272727272728,0.9727272727272728,0.0,4.363636363636363,85.9090909090909,5.836363636363637,17.272727272727273,6.166363636363636,1018.7181818181816,68.81818181818181,13.88181818181818,0.0,1.1527272727272726,21.3256,103.9188,2.2436363636363637,10.858181818181816,12,50,51,144,1970-01-21 10:23:54.681818181,1970-01-21 10:24:33.774545454,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-12,17.28181818181818,19.854545454545455,15.736363636363636,19.045454545454547,21.57272727272727,17.163636363636364,3.436363636363636,3.436363636363636,0.0,9.090909090909092,93.0909090909091,5.445454545454545,16.927272727272726,6.260909090909092,1016.8363636363636,73.18181818181819,16.099999999999998,0.0,1.1372727272727272,21.3256,103.9188,2.899090909090909,10.851818181818182,12,50,61,325,1970-01-21 10:25:21.120000000,1970-01-21 10:26:00.185454545,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-13,18.3,22.863636363636363,15.054545454545456,19.37272727272727,24.181818181818183,15.327272727272726,0.790909090909091,0.790909090909091,0.0,3.363636363636364,84.9090909090909,12.990909090909092,31.745454545454542,11.958181818181815,1018.8727272727272,64.81818181818181,15.572727272727274,0.0,2.2381818181818183,21.3256,103.9188,8.57909090909091,10.85,12,50,51,70,1970-01-21 10:26:47.552727272,1970-01-21 10:27:26.607272727,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-14,16.345454545454547,20.054545454545455,13.354545454545455,15.754545454545456,19.327272727272728,12.80909090909091,0.0181818181818181,0.0181818181818181,0.0,0.1818181818181818,75.0,12.21818181818182,30.318181818181817,12.692727272727272,1021.181818181818,39.18181818181818,11.681818181818182,0.0,2.3663636363636367,21.3256,103.9188,9.16909090909091,10.846363636363636,12,50,3,114,1970-01-21 10:28:13.985454545,1970-01-21 10:28:53.034545454,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-15,16.018181818181816,21.61818181818182,11.527272727272727,16.3,21.827272727272728,11.363636363636363,0.0,0.0,0.0,0.0,80.18181818181819,7.754545454545454,21.07272727272727,13.903636363636364,1018.9,25.454545454545453,12.30909090909091,0.0,2.387272727272727,21.3256,103.9188,9.72181818181818,10.841818181818182,12,51,3,62,1970-01-21 10:29:40.429090909,1970-01-21 10:30:19.445454545,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-16,16.481818181818184,21.563636363636363,12.763636363636364,16.981818181818184,22.554545454545455,12.918181818181818,0.0454545454545454,0.0454545454545454,0.0,0.4545454545454545,83.63636363636364,8.763636363636364,21.845454545454547,12.878181818181815,1017.8636363636364,38.45454545454545,13.47272727272727,0.0,2.227272727272727,21.3256,103.9188,9.397272727272728,10.84,12,51,3,71,1970-01-21 10:31:06.845454545,1970-01-21 10:31:45.883636363,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-17,17.063636363636363,21.563636363636363,14.02727272727273,17.472727272727273,21.845454545454547,14.427272727272726,0.6090909090909091,0.6090909090909091,0.0,3.909090909090909,83.45454545454545,11.154545454545454,27.636363636363637,13.177272727272726,1020.4454545454544,47.90909090909091,14.018181818181818,0.0,2.3345454545454545,21.3256,103.9188,9.313636363636364,10.838181818181818,12,51,51,102,1970-01-21 10:32:33.294545454,1970-01-21 10:33:12.300000000,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-18,16.918181818181818,21.5,13.845454545454546,17.645454545454545,22.30909090909091,14.163636363636364,1.2454545454545456,1.2454545454545456,0.0,4.636363636363637,83.63636363636364,8.854545454545455,24.318181818181817,13.42818181818182,1019.2818181818184,37.72727272727273,13.9,0.0,2.3136363636363635,21.3256,103.9188,9.597272727272726,10.836363636363636,12,51,51,116,1970-01-21 10:33:59.710909091,1970-01-21 10:34:38.716363636,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-19,17.154545454545453,22.236363636363635,13.409090909090908,17.900000000000002,22.59090909090909,14.0,0.0636363636363636,0.0636363636363636,0.0,0.5454545454545454,81.54545454545455,8.290909090909091,24.036363636363635,13.952727272727271,1015.6272727272728,34.0,13.71818181818182,0.0,2.429090909090909,21.3256,103.9188,9.547272727272729,10.831818181818182,12,51,3,6,1970-01-21 10:35:26.154545454,1970-01-21 10:36:05.154545454,Đông,,,
