province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-06,19.02,22.36,16.44,19.66,22.92,16.64,0.0799999999999999,0.0799999999999999,0.0,0.8,76.8,12.02,25.54,9.62,1019.34,91.2,14.74,0.0,1.9439999999999995,21.8706,105.838,5.436,10.856,12,49,3,86,1970-01-21 10:16:42.096,1970-01-21 10:17:21.168,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-07,20.2,24.28,17.44,22.14,26.380000000000003,18.84,1.4,1.4,0.0,6.6,83.4,8.8,19.64,11.23,1019.1,60.0,17.14,0.0,2.15,21.8706,105.838,7.869999999999999,10.848,12,49,51,109,1970-01-21 10:18:08.532,1970-01-21 10:18:47.580,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-08,19.8,24.880000000000003,15.96,20.54,25.54,16.46,0.14,0.14,0.0,1.0,74.4,11.1,27.139999999999997,14.462,1020.72,30.8,14.580000000000002,0.0,2.724,21.8706,105.838,9.964,10.84,12,50,51,31,1970-01-21 10:19:34.968,1970-01-21 10:20:14.004,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-09,18.7,23.94,13.96,19.26,24.22,13.9,0.1399999999999999,0.1399999999999999,0.0,1.0,77.4,9.32,22.380000000000003,12.882,1019.36,21.8,14.26,0.0,2.462,21.8706,105.838,10.05,10.836,12,50,3,59,1970-01-21 10:21:01.404,1970-01-21 10:21:40.416,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-10,19.22,24.42,14.28,20.2,25.28,14.86,0.0,0.0,0.0,0.0,75.6,8.059999999999999,20.98,14.952000000000002,1018.34,14.4,14.419999999999998,0.0,2.726,21.8706,105.838,10.047999999999998,10.828,12,50,1,38,1970-01-21 10:22:27.840,1970-01-21 10:23:06.828,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-11,18.76,22.2,14.76,20.08,23.6,15.18,1.3199999999999998,1.3199999999999998,0.0,1.6,82.2,7.279999999999999,15.98,5.08,1018.38,75.8,15.48,0.0,1.144,21.8706,105.838,0.424,10.826,12,50,3,2,1970-01-21 10:23:54.288,1970-01-21 10:24:33.240,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-12,19.56,21.48,17.96,22.1,23.64,20.2,6.279999999999999,6.279999999999999,0.0,12.4,92.0,7.279999999999999,21.96,5.326,1015.96,90.8,18.16,0.0,1.052,21.8706,105.838,0.376,10.818,12,50,55,28,1970-01-21 10:25:20.712,1970-01-21 10:25:59.664,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-13,20.380000000000003,22.72,17.419999999999998,21.3,25.26,15.26,7.18,7.18,0.0,12.0,80.8,18.9,45.38,5.304,1019.46,98.4,16.580000000000002,0.0,1.6939999999999995,21.8706,105.838,1.52,10.816,12,50,63,48,1970-01-21 10:26:47.148,1970-01-21 10:27:26.076,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-14,16.439999999999998,20.42,13.02,14.580000000000002,18.96,11.48,0.0,0.0,0.0,0.0,59.0,15.68,35.480000000000004,13.636,1022.74,39.0,8.16,0.0,2.93,21.8706,105.838,10.0,10.81,12,50,3,21,1970-01-21 10:28:13.572,1970-01-21 10:28:52.488,Đông,,,
Thái Nguyên,Trung du miền núi Bắc Bộ,2025-12-15,15.8,20.82,10.98,15.46,20.7,9.84,0.0,0.0,0.0,0.0,74.0,9.76,23.380000000000003,15.078,1019.84,8.2,10.9,0.0,2.552,21.8706,105.838,10.0,10.806,12,51,1,50,1970-01-21 10:29:40.008,1970-01-21 10:30:18.936,Đông,,,
