province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Tây Ninh,Đông Nam Bộ,2025-12-06,26.139999999999997,30.54,21.619999999999997,28.9,33.92,23.36,0.0,0.0,0.0,0.0,68.8,13.12,27.78,18.64,1012.42,39.4,19.76,0.0,4.174,11.0154,106.1765,10.974,11.508,12,49,3,18,1970-01-21 10:16:40.848,1970-01-21 10:17:22.272,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-07,25.74,30.52,21.0,28.06,33.6,22.04,0.0,0.0,0.0,0.0,68.2,15.74,30.08,21.288,1012.2,73.8,19.1,0.0,4.768,11.0154,106.1765,10.944,11.502,12,49,3,19,1970-01-21 10:18:07.272,1970-01-21 10:18:48.672,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-08,25.32,29.78,20.84,26.72,32.760000000000005,20.78,0.0,0.0,0.0,0.0,62.4,14.44,28.7,20.468,1012.22,99.0,17.5,0.0,4.866,11.0154,106.1765,10.904,11.5,12,50,3,25,1970-01-21 10:19:33.708,1970-01-21 10:20:15.108,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-09,25.94,30.0,21.42,28.04,33.42,22.98,0.0,0.0,0.0,0.0,67.2,14.18,28.160000000000004,19.696,1011.34,94.0,19.18,0.0,4.604,11.0154,106.1765,10.832,11.498,12,50,3,11,1970-01-21 10:21:00.132,1970-01-21 10:21:41.532,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-10,25.82,30.4,23.42,28.880000000000003,33.92,24.9,10.3,10.3,0.0,8.4,76.8,16.880000000000003,35.339999999999996,14.686000000000002,1010.82,93.0,21.26,0.0,3.506,11.0154,106.1765,8.524,11.492,12,50,61,12,1970-01-21 10:22:26.580,1970-01-21 10:23:07.932,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-11,26.3,31.08,22.58,30.839999999999996,35.78,26.660000000000004,9.8,9.8,0.0,5.6,82.8,12.22,36.36,15.496,1010.68,98.2,22.94,0.0,3.312,11.0154,106.1765,7.862,11.49,12,50,63,32,1970-01-21 10:23:52.992,1970-01-21 10:24:34.368,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-12,27.160000000000004,31.92,23.1,31.6,36.36,27.56,0.24,0.24,0.0,1.6,76.6,9.7,20.94,18.556,1010.3,86.8,22.3,0.0,4.004,11.0154,106.1765,10.888,11.49,12,50,51,44,1970-01-21 10:25:19.440,1970-01-21 10:26:00.792,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-13,26.94,32.06,23.22,32.06,37.86,27.68,5.8,5.8,0.0,3.4,81.2,15.76,36.14,18.226,1010.1,94.8,23.08,0.0,3.858,11.0154,106.1765,10.224,11.488,12,50,63,1,1970-01-21 10:26:45.852,1970-01-21 10:27:27.192,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-14,27.380000000000003,32.08,23.380000000000003,31.08,36.06,25.96,0.2799999999999999,0.2799999999999999,0.0,1.2,72.8,15.179999999999998,32.32,19.24,1010.36,77.0,21.64,0.0,4.492,11.0154,106.1765,10.852,11.488,12,50,51,42,1970-01-21 10:28:12.300,1970-01-21 10:28:53.640,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-15,27.22,31.68,23.64,30.32,36.12,25.119999999999997,0.0,0.0,0.0,0.0,66.6,13.68,27.58,19.378,1011.14,95.6,20.28,0.0,4.5,11.0154,106.1765,10.762,11.482,12,51,3,24,1970-01-21 10:29:38.712,1970-01-21 10:30:20.052,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-16,26.619999999999997,31.880000000000003,23.26,30.860000000000003,37.14,26.6,0.22,0.22,0.0,1.0,76.2,10.74,22.1,19.136000000000003,1010.98,74.2,21.660000000000004,0.0,4.0840000000000005,11.0154,106.1765,9.738,11.482,12,51,3,27,1970-01-21 10:31:05.160,1970-01-21 10:31:46.488,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-17,26.74,31.840000000000003,22.7,31.04,37.16,26.339999999999996,0.96,0.96,0.0,2.0,77.4,12.74,24.76,19.748,1011.1,61.8,22.0,0.0,4.226,11.0154,106.1765,10.894,11.48,12,51,51,38,1970-01-21 10:32:31.572,1970-01-21 10:33:12.912,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-18,26.76,30.98,23.02,30.52,35.38,25.880000000000003,0.44,0.44,0.0,1.4,73.8,13.3,28.139999999999997,17.631999999999998,1010.74,90.4,21.26,0.0,3.908,11.0154,106.1765,10.362,11.48,12,51,51,11,1970-01-21 10:33:58.020,1970-01-21 10:34:39.348,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-19,27.119999999999997,32.14,22.92,30.72,36.82,24.880000000000003,0.04,0.04,0.0,0.4,69.4,11.9,23.42,20.05,1009.3,87.2,20.72,0.0,4.362,11.0154,106.1765,11.032,11.48,12,51,3,15,1970-01-21 10:35:24.432,1970-01-21 10:36:05.772,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-20,27.360000000000003,32.36,22.9,31.06,35.760000000000005,26.6,0.0,0.0,0.0,0.0,71.4,13.1,27.2,20.17,1008.82,93.2,21.24,0.0,4.562,11.0154,106.1765,10.948,11.48,12,51,3,14,1970-01-21 10:36:50.880,1970-01-21 10:37:32.208,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-21,27.32,32.44,23.04,31.1,36.84,25.839999999999996,1.7,1.7,0.0,3.6,72.8,14.96,34.36,20.162,1009.3,72.8,21.619999999999997,0.0,4.522,11.0154,106.1765,11.036,11.48,12,51,51,1,1970-01-21 10:38:17.292,1970-01-21 10:38:58.632,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-22,27.44,32.38,23.1,31.4,36.260000000000005,27.28,0.06,0.06,0.0,0.6,73.8,12.16,26.08,19.534,1009.1,80.2,21.9,0.0,4.36,11.0154,106.1765,11.092,11.48,12,52,51,8,1970-01-21 10:39:43.740,1970-01-21 10:40:25.068,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-23,27.18,31.4,23.66,31.6,36.220000000000006,27.76,0.0,0.0,0.0,0.0,76.4,13.080000000000002,23.4,16.89,1008.98,97.8,22.26,0.0,3.646,11.0154,106.1765,10.194,11.48,12,52,3,34,1970-01-21 10:41:10.152,1970-01-21 10:41:51.492,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-24,27.3,32.160000000000004,23.58,31.98,37.3,28.160000000000004,1.2799999999999998,1.2799999999999998,0.0,4.8,78.0,12.06,24.04,17.612000000000002,1008.46,86.8,22.7,0.0,3.86,11.0154,106.1765,10.052,11.48,12,52,51,61,1970-01-21 10:42:36.600,1970-01-21 10:43:17.928,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-25,26.360000000000003,30.74,24.08,31.7,35.6,29.46,16.759999999999998,16.759999999999998,0.0,11.4,87.6,12.7,29.94,12.79,1009.4,93.8,23.9,0.0,2.724,11.0154,106.1765,7.209999999999999,11.48,12,52,63,28,1970-01-21 10:44:03.012,1970-01-21 10:44:44.352,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-26,26.74,30.96,23.6,30.06,33.7,26.2,0.0,0.0,0.0,0.0,74.6,17.22,33.760000000000005,17.07,1010.4,87.2,21.46,0.0,4.014,11.0154,106.1765,9.986,11.48,12,52,3,22,1970-01-21 10:45:29.460,1970-01-21 10:46:10.788,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-27,25.92,30.32,21.84,28.98,34.32,23.66,0.04,0.04,0.0,0.4,71.2,11.88,22.2,19.186,1011.34,86.2,20.08,0.0,4.17,11.0154,106.1765,10.77,11.482,12,52,3,32,1970-01-21 10:46:55.872,1970-01-21 10:47:37.212,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-28,26.18,31.119999999999997,22.119999999999997,29.56,34.4,24.94,0.0,0.0,0.0,0.0,73.2,12.12,24.86,20.642000000000003,1011.92,55.6,20.36,0.0,4.392,11.0154,106.1765,11.152,11.482,12,52,3,4,1970-01-21 10:48:22.320,1970-01-21 10:49:03.660,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-29,25.92,30.92,22.06,29.52,34.019999999999996,25.9,0.0,0.0,0.0,0.0,74.2,10.78,23.26,20.358,1011.46,64.6,20.380000000000003,0.0,4.276,11.0154,106.1765,10.67,11.488,12,1,3,5,1970-01-21 10:49:48.732,1970-01-21 10:50:30.072,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-30,25.16,30.24,20.94,28.52,34.0,24.64,0.0,0.0,0.0,0.0,74.8,10.64,19.02,20.49,1010.66,48.4,19.76,0.0,4.172,11.0154,106.1765,11.3,11.49,12,1,3,39,1970-01-21 10:51:15.168,1970-01-21 10:51:56.520,Đông,,,
Tây Ninh,Đông Nam Bộ,2025-12-31,25.2,30.44,20.54,28.44,34.62,24.08,0.0,0.0,0.0,0.0,74.2,14.7,26.0,19.906,1009.52,53.2,19.76,0.0,4.17,11.0154,106.1765,11.302,11.49,12,1,3,111,1970-01-21 10:52:41.592,1970-01-21 10:53:22.932,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-01,25.16,30.5,20.42,28.0,33.46,23.8,0.0,0.0,0.0,0.0,72.8,13.44,24.56,19.066,1010.6,62.8,19.4,0.0,4.109999999999999,11.0154,106.1765,11.308,11.49,1,1,3,110,1970-01-21 10:54:07.992,1970-01-21 10:54:49.380,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-02,25.36,30.9,20.74,27.46,33.5,22.4,0.0,0.0,0.0,0.0,66.6,12.82,26.860000000000003,20.94,1012.16,58.4,17.880000000000003,0.0,4.574,11.0154,106.1765,11.104,11.492,1,1,3,37,1970-01-21 10:55:34.440,1970-01-21 10:56:15.792,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-03,25.02,30.139999999999997,20.28,26.48,33.1,20.54,0.0,0.0,0.0,0.0,63.0,14.24,29.44,19.11,1013.18,47.2,17.1,0.0,4.448,11.0154,106.1765,10.336,11.5,1,1,3,39,1970-01-21 10:57:00.852,1970-01-21 10:57:42.240,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-04,25.2,31.24,19.46,26.96,34.1,19.860000000000003,0.0,0.0,0.0,0.0,61.8,10.4,23.54,20.802,1012.98,83.2,16.880000000000003,0.0,4.523999999999999,11.0154,106.1765,11.222,11.5,1,1,3,2,1970-01-21 10:58:27.264,1970-01-21 10:59:08.664,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-05,26.04,30.4,22.02,29.5,33.82000000000001,25.56,0.12,0.12,0.0,1.2,72.6,11.34,21.32,13.73,1012.74,90.6,20.44,0.0,3.144,11.0154,106.1765,7.384,11.502,1,2,51,16,1970-01-21 10:59:53.700,1970-01-21 11:00:35.112,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-06,25.24,30.8,22.86,28.98,34.980000000000004,25.02,6.540000000000001,6.540000000000001,0.0,4.2,81.0,13.6,27.28,14.344,1013.28,97.8,21.380000000000003,0.0,3.136,11.0154,106.1765,7.06,11.51,1,2,3,64,1970-01-21 11:01:20.112,1970-01-21 11:02:01.548,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-07,25.839999999999996,30.660000000000004,21.7,27.639999999999997,33.4,21.54,0.0,0.0,0.0,0.0,63.4,14.74,27.139999999999997,18.324,1013.92,77.8,17.96,0.0,4.504,11.0154,106.1765,9.558,11.51,1,2,3,17,1970-01-21 11:02:46.524,1970-01-21 11:03:27.972,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-08,24.68,30.04,20.2,25.18,31.139999999999997,20.26,0.0,0.0,0.0,0.0,58.0,16.16,34.0,21.056,1015.08,53.4,15.419999999999998,0.0,5.116,11.0154,106.1765,11.378,11.512,1,2,3,28,1970-01-21 11:04:12.960,1970-01-21 11:04:54.408,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-09,22.880000000000003,28.94,17.3,23.02,29.68,16.740000000000002,0.0,0.0,0.0,0.0,57.4,15.2,32.04,21.906,1014.9,79.8,13.6,0.0,4.82,11.0154,106.1765,11.114,11.52,1,2,3,19,1970-01-21 11:05:39.372,1970-01-21 11:06:20.832,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-10,23.08,28.58,17.78,24.52,31.340000000000003,18.119999999999997,0.0,0.0,0.0,0.0,63.2,9.14,18.42,20.554,1014.34,39.2,15.22,0.0,4.108,11.0154,106.1765,11.372,11.52,1,2,3,28,1970-01-21 11:07:05.772,1970-01-21 11:07:47.280,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-11,24.619999999999997,30.119999999999997,18.8,26.3,32.8,19.68,0.0,0.0,0.0,0.0,62.4,9.66,22.46,18.814,1015.12,82.8,16.48,0.0,4.096,11.0154,106.1765,10.668,11.53,1,2,3,11,1970-01-21 11:08:32.208,1970-01-21 11:09:13.692,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-12,26.42,30.76,21.8,29.7,34.6,25.46,0.02,0.02,0.0,0.2,69.0,11.64,21.020000000000003,17.144,1014.4,55.0,19.84,0.0,3.704,11.0154,106.1765,10.236,11.53,1,3,3,142,1970-01-21 11:09:58.620,1970-01-21 11:10:40.140,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-13,26.119999999999997,31.02,21.96,29.18,33.64,25.6,0.18,0.18,0.0,1.8,72.6,13.68,24.82,16.802,1013.84,46.8,20.16,0.0,3.774,11.0154,106.1765,10.138,11.54,1,3,51,197,1970-01-21 11:11:25.032,1970-01-21 11:12:06.552,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-14,25.96,31.04,21.3,29.32,34.92,25.08,0.16,0.16,0.0,1.2,73.6,12.94,22.32,17.936,1012.64,36.6,20.36,0.0,3.874,11.0154,106.1765,10.874,11.54,1,3,51,174,1970-01-21 11:12:51.432,1970-01-21 11:13:33.000,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-15,26.4,31.860000000000003,21.66,29.78,35.36,25.54,0.1,0.1,0.0,0.8,73.4,15.919999999999998,29.08,20.022,1011.96,18.2,20.58,0.0,4.382,11.0154,106.1765,11.04,11.55,1,3,2,128,1970-01-21 11:14:17.868,1970-01-21 11:14:59.412,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-16,26.22,31.24,21.74,29.72,35.54,25.619999999999997,0.18,0.18,0.0,1.6,73.8,13.0,23.06,18.42,1010.96,73.4,20.6,0.0,3.932,11.0154,106.1765,10.576,11.55,1,3,51,162,1970-01-21 11:15:44.280,1970-01-21 11:16:25.860,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-17,26.26,32.06,21.44,29.1,35.18,25.06,0.04,0.04,0.0,0.4,71.0,16.740000000000002,31.1,19.274,1009.42,64.6,19.82,0.0,4.314,11.0154,106.1765,10.828,11.56,1,3,3,126,1970-01-21 11:17:10.680,1970-01-21 11:17:52.272,Đông,,,
Tây Ninh,Đông Nam Bộ,2026-01-18,25.860000000000003,31.0,21.36,29.02,34.9,25.119999999999997,0.3399999999999999,0.3399999999999999,0.0,2.6,73.8,15.580000000000002,28.44,19.532,1008.88,52.8,20.22,0.0,4.2700000000000005,11.0154,106.1765,10.088,11.562,1,3,51,143,1970-01-21 11:18:37.092,1970-01-21 11:19:18.720,Đông,,,
