province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-06,26.119999999999997,29.94,23.08,30.639999999999997,34.480000000000004,27.52,0.32,0.32,0.0,2.6,82.2,11.22,25.22,18.894,1012.32,50.6,22.6,0.0,3.78,10.1436,106.2249,11.016,11.552,12,49,51,56,1970-01-21 10:16:40.740,1970-01-21 10:17:22.344,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-07,26.06,30.0,23.14,30.32,34.7,27.4,0.28,0.28,0.0,1.6,79.8,10.42,22.94,19.478,1012.0,82.6,22.08,0.0,3.934,10.1436,106.2249,10.98,11.55,12,49,51,60,1970-01-21 10:18:07.164,1970-01-21 10:18:48.744,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-08,24.880000000000003,29.4,20.92,28.28,33.5,22.72,0.44,0.44,0.0,1.0,75.8,10.54,22.58,20.828,1012.04,97.0,20.02,0.0,4.154,10.1436,106.2249,10.912,11.55,12,50,51,10,1970-01-21 10:19:33.600,1970-01-21 10:20:15.180,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-09,25.3,28.68,22.119999999999997,29.339999999999996,33.64,25.26,0.38,0.38,0.0,3.0,79.4,9.72,21.04,18.104,1011.2,98.4,21.36,0.0,3.622,10.1436,106.2249,10.362,11.548,12,50,51,298,1970-01-21 10:21:00.024,1970-01-21 10:21:41.604,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-10,25.46,29.5,23.119999999999997,28.96,32.62,25.839999999999996,9.56,9.56,0.0,9.6,81.4,16.78,34.86,14.19,1010.54,95.2,21.86,0.0,3.07,10.1436,106.2249,8.862,11.541999999999998,12,50,63,19,1970-01-21 10:22:26.460,1970-01-21 10:23:08.016,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-11,25.52,28.339999999999996,22.92,29.139999999999997,31.44,27.1,10.26,10.26,0.0,12.8,86.0,24.08,50.68,12.75,1010.76,99.4,22.84,0.0,2.844,10.1436,106.2249,5.868,11.54,12,50,63,78,1970-01-21 10:23:52.884,1970-01-21 10:24:34.440,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-12,26.9,30.26,24.82,30.5,34.18,28.160000000000004,0.0,0.0,0.0,0.0,78.2,16.6,33.62,19.732,1010.3,92.2,22.64,0.0,4.311999999999999,10.1436,106.2249,10.91,11.54,12,50,3,84,1970-01-21 10:25:19.320,1970-01-21 10:26:00.864,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-13,26.48,30.74,23.24,31.24,36.260000000000005,27.08,10.26,10.26,0.0,5.8,83.8,15.2,36.3,19.892000000000003,1010.1,95.2,23.32,0.0,4.058,10.1436,106.2249,10.994,11.538,12,50,63,79,1970-01-21 10:26:45.744,1970-01-21 10:27:27.288,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-14,26.42,30.119999999999997,23.34,31.22,35.9,27.9,0.74,0.74,0.0,3.0,83.2,12.84,29.22,19.248,1010.3,85.2,23.14,0.0,3.968,10.1436,106.2249,10.342,11.538,12,50,51,47,1970-01-21 10:28:12.180,1970-01-21 10:28:53.712,Đông,,,
Vĩnh Long,Đồng bằng sông Cửu Long,2025-12-15,26.52,30.4,23.58,30.76,35.339999999999996,26.660000000000004,0.04,0.04,0.0,0.4,78.4,10.86,22.2,19.544,1011.1,85.8,22.32,0.0,4.052,10.1436,106.2249,10.226,11.532,12,51,3,74,1970-01-21 10:29:38.604,1970-01-21 10:30:20.124,Đông,,,
