province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-06,22.14,25.160000000000004,19.96,24.94,26.860000000000003,22.7,5.32,5.32,0.0,14.8,86.2,14.94,33.12,10.626,1017.68,69.6,19.619999999999997,0.0,2.0799999999999996,15.7969,108.1106,8.062000000000001,11.23,12,49,61,8,1970-01-21 10:16:40.872,1970-01-21 10:17:21.300,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-07,21.64,25.4,18.4,23.92,27.26,20.74,0.86,0.86,0.0,6.0,82.2,12.66,28.660000000000004,14.588,1017.28,52.2,18.26,0.0,2.814,15.7969,108.1106,10.656,11.222,12,49,51,16,1970-01-21 10:18:07.308,1970-01-21 10:18:47.712,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-08,20.9,23.74,18.72,23.4,25.94,20.84,6.56,6.56,0.0,15.8,89.4,12.78,28.78,7.488,1017.56,92.6,18.98,0.0,1.526,15.7969,108.1106,2.902,11.22,12,50,61,14,1970-01-21 10:19:33.756,1970-01-21 10:20:14.136,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-09,21.58,24.619999999999997,18.84,24.380000000000003,26.42,21.3,3.5,3.5,0.0,11.8,87.6,11.52,25.34,7.534000000000001,1017.02,99.2,19.26,0.0,1.578,15.7969,108.1106,2.182,11.212,12,50,51,4,1970-01-21 10:21:00.180,1970-01-21 10:21:40.548,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-10,21.92,23.3,20.82,25.52,27.06,23.86,13.64,13.64,0.0,21.4,93.4,8.559999999999999,18.380000000000003,3.658,1015.44,99.8,20.8,0.0,0.852,15.7969,108.1106,0.054,11.21,12,50,61,257,1970-01-21 10:22:26.616,1970-01-21 10:23:06.972,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-11,23.160000000000004,26.619999999999997,21.0,27.18,30.339999999999996,24.56,11.94,11.94,0.0,21.6,92.2,10.98,27.78,10.122,1015.28,87.2,21.74,0.0,1.988,15.7969,108.1106,6.11,11.208000000000002,12,50,61,46,1970-01-21 10:23:53.040,1970-01-21 10:24:33.396,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-12,23.96,27.48,21.8,27.94,31.339999999999996,26.1,4.26,4.26,0.0,15.4,88.2,11.6,27.42,14.23,1014.82,63.0,21.76,0.0,2.78,15.7969,108.1106,9.394,11.202,12,50,53,67,1970-01-21 10:25:19.476,1970-01-21 10:25:59.808,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-13,23.58,27.2,21.28,27.360000000000003,30.42,25.119999999999997,5.42,5.42,0.0,18.0,88.8,12.56,30.02,14.368,1015.84,73.2,21.44,0.0,2.794,15.7969,108.1106,9.958,11.2,12,50,55,4,1970-01-21 10:26:45.900,1970-01-21 10:27:26.232,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-14,22.06,24.02,21.08,25.04,26.94,23.64,17.44,17.44,0.0,22.8,93.6,16.68,34.62,4.786,1017.48,98.6,21.02,0.0,1.048,15.7969,108.1106,0.238,11.198,12,50,61,26,1970-01-21 10:28:12.336,1970-01-21 10:28:52.656,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-15,22.06,24.54,20.68,25.16,26.6,23.72,7.12,7.12,0.0,20.6,90.8,13.64,30.32,9.362,1017.18,92.6,20.44,0.0,1.802,15.7969,108.1106,5.338,11.198,12,51,53,24,1970-01-21 10:29:38.772,1970-01-21 10:30:19.068,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-16,22.64,25.34,21.06,26.2,28.380000000000003,24.76,3.88,3.88,0.0,15.8,89.8,11.12,25.860000000000003,9.34,1016.18,90.8,20.84,0.0,1.854,15.7969,108.1106,5.804,11.192,12,51,51,25,1970-01-21 10:31:05.208,1970-01-21 10:31:45.492,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-17,22.1,24.22,20.9,25.82,27.6,24.0,21.860000000000003,21.860000000000003,0.0,21.2,95.0,14.94,32.980000000000004,5.686,1017.12,98.2,21.24,0.0,1.116,15.7969,108.1106,1.058,11.192,12,51,63,3,1970-01-21 10:32:31.632,1970-01-21 10:33:11.928,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-18,22.32,25.9,19.74,25.24,28.22,22.619999999999997,1.58,1.58,0.0,10.0,87.2,12.64,29.24,14.918,1016.64,63.6,19.94,0.0,2.802,15.7969,108.1106,10.334,11.19,12,51,51,348,1970-01-21 10:33:58.068,1970-01-21 10:34:38.352,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-19,22.839999999999996,26.0,20.84,26.360000000000003,28.98,24.5,1.8,1.8,0.0,7.8,87.6,10.0,24.18,10.424,1014.12,91.8,20.56,0.0,2.096,15.7969,108.1106,6.39,11.19,12,51,53,12,1970-01-21 10:35:24.492,1970-01-21 10:36:04.788,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-20,22.8,25.8,21.16,26.28,29.139999999999997,24.9,4.540000000000001,4.540000000000001,0.0,16.0,89.8,12.82,28.360000000000003,10.774,1013.82,89.0,20.98,0.0,2.084,15.7969,108.1106,6.646000000000001,11.19,12,51,53,2,1970-01-21 10:36:50.928,1970-01-21 10:37:31.212,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-21,22.64,24.639999999999997,21.619999999999997,26.160000000000004,28.24,25.04,31.360000000000003,31.360000000000003,0.0,23.8,95.4,17.36,39.38,7.376,1014.68,98.0,21.880000000000003,0.0,1.336,15.7969,108.1106,2.342,11.19,12,51,63,7,1970-01-21 10:38:17.364,1970-01-21 10:38:57.648,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-22,22.74,25.52,21.18,26.3,28.68,24.58,13.1,13.1,0.0,23.2,91.8,13.76,33.68,11.346,1014.64,86.6,21.32,0.0,2.1,15.7969,108.1106,7.337999999999999,11.19,12,52,61,44,1970-01-21 10:39:43.788,1970-01-21 10:40:24.072,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-23,23.380000000000003,27.06,20.72,26.94,30.1,24.14,2.54,2.54,0.0,12.4,86.6,11.92,28.22,15.73,1013.68,85.0,20.82,0.0,3.012,15.7969,108.1106,10.124,11.19,12,52,53,6,1970-01-21 10:41:10.224,1970-01-21 10:41:50.508,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-24,23.56,27.26,20.32,27.360000000000003,30.74,23.58,1.4200000000000002,1.4200000000000002,0.0,7.8,87.2,9.26,21.56,13.924,1012.74,83.2,21.119999999999997,0.0,2.726,15.7969,108.1106,9.332,11.19,12,52,51,37,1970-01-21 10:42:36.648,1970-01-21 10:43:16.932,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-25,22.36,24.14,20.82,25.839999999999996,27.92,23.52,17.0,17.0,0.0,23.4,95.0,13.2,28.0,5.57,1015.02,99.2,21.46,0.0,1.108,15.7969,108.1106,0.4199999999999999,11.19,12,52,61,1,1970-01-21 10:44:03.072,1970-01-21 10:44:43.368,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-26,20.5,21.56,19.52,22.7,23.72,21.54,10.04,10.04,0.0,15.0,90.2,11.9,25.839999999999996,5.01,1017.48,99.6,18.8,0.0,1.084,15.7969,108.1106,0.108,11.192,12,52,51,42,1970-01-21 10:45:29.508,1970-01-21 10:46:09.792,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-27,20.66,23.82,18.96,23.22,25.96,21.1,3.94,3.94,0.0,13.6,88.4,9.6,26.94,9.91,1017.26,97.4,18.58,0.0,1.856,15.7969,108.1106,5.83,11.192,12,52,53,18,1970-01-21 10:46:55.932,1970-01-21 10:47:36.228,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-28,21.36,24.64,19.48,24.22,27.02,22.44,2.1399999999999997,2.1399999999999997,0.0,12.2,88.2,11.2,27.44,14.106,1016.92,84.4,19.22,0.0,2.568,15.7969,108.1106,9.136,11.198,12,52,51,20,1970-01-21 10:48:22.368,1970-01-21 10:49:02.676,Đông,,,
Đà Nẵng,Duyên hải Nam Trung Bộ,2025-12-29,21.66,25.14,19.16,24.64,27.32,22.24,2.48,2.48,0.0,14.8,88.0,10.84,25.54,12.84,1015.28,75.6,19.46,0.0,2.446,15.7969,108.1106,9.086,11.2,12,1,51,51,1970-01-21 10:49:48.780,1970-01-21 10:50:29.100,Đông,,,
