province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
Đồng Nai,Đông Nam Bộ,2025-12-06,25.06,30.160000000000004,20.96,27.24,33.8,22.48,0.12,0.12,0.0,0.6,69.4,15.14,27.8,18.75,1012.58,38.2,18.9,0.0,4.29,11.4099,106.9455,10.878,11.48,12,49,3,24,1970-01-21 10:16:40.692,1970-01-21 10:17:22.032,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-07,24.5,29.7,19.84,26.160000000000004,33.64,20.18,0.0,0.0,0.0,0.0,67.8,17.080000000000002,33.18,20.916,1012.36,51.2,17.96,0.0,4.76,11.4099,106.9455,11.002,11.48,12,49,3,7,1970-01-21 10:18:07.128,1970-01-21 10:18:48.468,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-08,24.339999999999996,29.6,20.12,25.46,32.14,19.76,0.0,0.0,0.0,0.0,66.2,16.32,31.679999999999996,19.944,1012.34,97.2,17.44,0.0,4.704,11.4099,106.9455,10.942,11.478,12,50,3,9,1970-01-21 10:19:33.564,1970-01-21 10:20:14.868,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-09,24.8,29.74,20.84,26.72,33.04,22.06,0.0,0.0,0.0,0.0,70.6,15.4,30.68,16.862000000000002,1011.48,94.4,18.94,0.0,4.014,11.4099,106.9455,8.758,11.47,12,50,3,13,1970-01-21 10:21:00.000,1970-01-21 10:21:41.292,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-10,24.72,29.76,22.44,28.3,34.32,23.98,8.56,8.56,0.0,5.8,82.6,13.54,28.18,12.784,1010.92,94.2,21.36,0.0,2.846,11.4099,106.9455,6.066,11.47,12,50,63,3,1970-01-21 10:22:26.436,1970-01-21 10:23:07.728,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-11,25.76,30.4,22.54,30.839999999999996,35.68,26.6,2.24,2.24,0.0,1.4,86.8,8.98,25.54,15.266,1010.78,82.6,23.24,0.0,3.1060000000000003,11.4099,106.9455,8.682,11.468,12,50,61,49,1970-01-21 10:23:52.860,1970-01-21 10:24:34.128,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-12,26.18,30.839999999999996,21.880000000000003,30.7,36.3,24.96,0.5,0.5,0.0,1.8,79.8,9.86,18.58,19.378,1010.54,80.4,22.08,0.0,3.936,11.4099,106.9455,10.918,11.462,12,50,51,25,1970-01-21 10:25:19.308,1970-01-21 10:26:00.552,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-13,26.0,31.02,21.94,30.139999999999997,36.88,24.26,0.9,0.9,0.0,1.0,79.0,13.68,26.880000000000003,18.601999999999997,1010.34,98.4,21.82,0.0,3.966,11.4099,106.9455,10.904,11.46,12,50,51,21,1970-01-21 10:26:45.720,1970-01-21 10:27:26.988,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-14,26.72,31.8,23.3,29.02,34.44,24.56,0.02,0.02,0.0,0.2,67.8,18.5,35.14,18.542,1010.6,91.6,20.02,0.0,4.728,11.4099,106.9455,10.892,11.46,12,50,3,43,1970-01-21 10:28:12.168,1970-01-21 10:28:53.400,Đông,,,
Đồng Nai,Đông Nam Bộ,2025-12-15,26.26,31.160000000000004,22.5,28.9,35.32,23.86,0.2,0.2,0.0,1.2,69.2,16.56,32.18,18.448,1011.38,90.8,20.0,0.0,4.35,11.4099,106.9455,10.892,11.46,12,51,51,35,1970-01-21 10:29:38.580,1970-01-21 10:30:19.848,Đông,,,
