province,region,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,pressure_msl_mean,cloud_cover_mean,dew_point_2m_mean,snowfall_sum,et0_fao_evapotranspiration,latitude,longitude,sunshine_hours,daylight_hours,month,week,weather_code,wind_direction_10m_dominant,sunrise,sunset,season,uv_index_max,uv_index_clear_sky_max,precipitation_probability_max
An Giang,Đồng bằng sông Cửu Long,2025-12-06,26.211111111111112,30.333333333333332,22.366666666666667,29.988888888888887,34.06666666666667,25.455555555555556,0.0555555555555555,0.0555555555555555,0.0,0.4444444444444444,77.11111111111111,13.144444444444444,28.244444444444444,20.273333333333333,1012.422222222222,68.55555555555556,21.51111111111111,0.0,4.246666666666666,10.267,105.1034,11.156666666666666,11.547777777777778,12,49,3,43,1970-01-21 10:16:41.026666666,1970-01-21 10:17:22.600000000,Đông,,,
Bắc Ninh,Đồng bằng sông Hồng,2025-12-06,20.02,23.78,16.759999999999998,20.42,24.86,16.98,0.0,0.0,0.0,0.0,72.4,15.64,27.08,11.036,1019.08,79.0,14.76,0.0,2.462,21.2017,106.1543,5.558,10.898,12,49,3,96,1970-01-21 10:16:41.940000000,1970-01-21 10:17:21.168000000,Đông,,,
Cao Bằng,Trung du miền núi Bắc Bộ,2025-12-06,15.788888888888888,18.98888888888889,12.377777777777778,15.799999999999999,18.822222222222223,12.255555555555555,0.4444444444444444,0.4444444444444444,0.0,3.6666666666666665,82.55555555555556,11.055555555555555,25.41111111111111,7.842222222222222,1019.8222222222222,88.55555555555556,12.755555555555555,0.0,1.4844444444444445,22.6657,106.2522,3.533333333333333,10.801111111111112,12,49,51,149,1970-01-21 10:16:42.100000000,1970-01-21 10:17:20.986666666,Đông,,,
Cà Mau,Đồng bằng sông Cửu Long,2025-12-06,26.5,29.32222222222222,24.655555555555555,29.700000000000003,32.63333333333333,27.91111111111111,0.4444444444444444,0.4444444444444444,0.0,3.2222222222222223,78.88888888888889,21.244444444444444,39.400000000000006,19.34,1012.2444444444444,70.88888888888889,22.433333333333337,0.0,4.1866666666666665,9.2355,105.4358,11.153333333333332,11.606666666666666,12,49,51,70,1970-01-21 10:16:40.846666666,1970-01-21 10:17:22.626666666,Đông,,,
Cần Thơ,Đồng bằng sông Cửu Long,2025-12-06,25.880000000000003,29.04,23.28,30.22,33.64,27.48,1.3,1.3,0.0,7.2,83.4,12.919999999999998,27.72,18.474,1012.34,59.4,22.68,0.0,3.658,9.8019,105.7894,11.102,11.572,12,49,51,60,1970-01-21 10:16:40.812000000,1970-01-21 10:17:22.488000000,Đông,,,
Gia Lai,Tây Nguyên,2025-12-06,20.39090909090909,23.2,17.900000000000002,20.62727272727273,22.945454545454545,18.154545454545453,1.5181818181818183,1.5181818181818183,0.0,7.818181818181818,84.36363636363636,24.863636363636363,54.3,15.12,1016.5909090909092,60.27272727272727,17.527272727272727,0.0,2.7818181818181817,13.8799,108.6119,10.625454545454543,11.34,12,49,51,51,1970-01-21 10:16:40.554545454,1970-01-21 10:17:21.376363636,Đông,,,
Huế,Bắc Trung Bộ,2025-12-06,21.82,24.16,19.64,23.06,24.82,20.880000000000003,3.9,3.9,0.0,12.4,82.4,20.08,40.18,13.768,1017.56,52.4,18.52,0.0,2.886,16.4637,107.5909,9.716,11.188,12,49,53,66,1970-01-21 10:16:41.088000000,1970-01-21 10:17:21.348000000,Đông,,,
Hà Nội,Đồng bằng sông Hồng,2025-12-06,20.1,23.76,17.18,20.72,24.880000000000003,17.66,0.02,0.02,0.0,0.2,74.0,13.84,25.22,11.376,1019.02,71.8,15.16,0.0,2.46,21.0285,105.85420000000002,5.484,10.908,12,49,3,111,1970-01-21 10:16:42.000000000,1970-01-21 10:17:21.252000000,Đông,,,
Hà Tĩnh,Bắc Trung Bộ,2025-12-06,21.119999999999997,23.3,18.98,22.82,24.8,20.660000000000004,4.9799999999999995,4.9799999999999995,0.0,15.6,87.6,17.84,31.880000000000003,11.524000000000001,1018.4799999999999,69.8,18.9,0.0,2.176,18.356,105.9,7.252,11.072,12,49,53,2,1970-01-21 10:16:41.688000000,1970-01-21 10:17:21.552000000,Đông,,,
Hưng Yên,Đồng bằng sông Hồng,2025-12-06,20.18,24.28,17.3,21.04,24.9,18.2,0.0,0.0,0.0,0.0,76.6,12.34,23.32,11.57,1019.04,58.2,15.66,0.0,2.436,20.5482,106.1955,6.886,10.938,12,49,3,67,1970-01-21 10:16:41.868000000,1970-01-21 10:17:21.228000000,Đông,,,
Hải Phòng,Đồng bằng sông Hồng,2025-12-06,19.8,24.08,16.119999999999997,20.52,24.7,17.1,0.0,0.0,0.0,0.0,76.2,13.4,27.360000000000003,13.080000000000002,1019.1,51.0,15.2,0.0,2.588,20.8928,106.5095,8.475999999999999,10.918,12,49,3,98,1970-01-21 10:16:41.808000000,1970-01-21 10:17:21.108000000,Đông,,,
Hồ Chí Minh,Đông Nam Bộ,2025-12-06,25.82,29.96,22.04,30.119999999999997,34.72,25.54,0.4,0.4,0.0,2.2,79.4,10.1,20.32,17.85,1012.32,41.2,21.74,0.0,3.632,10.8967,106.7832,10.978,11.512,12,49,3,7,1970-01-21 10:16:40.680000000,1970-01-21 10:17:22.128000000,Đông,,,
Khánh Hòa,Duyên hải Nam Trung Bộ,2025-12-06,21.744444444444444,25.1,19.255555555555556,22.48888888888889,25.566666666666663,20.233333333333334,0.8777777777777778,0.8777777777777778,0.0,4.444444444444445,80.0,24.14444444444445,60.12222222222223,19.06888888888889,1014.8888888888888,41.55555555555556,17.933333333333334,0.0,3.763333333333333,11.9564,109.0298,11.0,11.45111111111111,12,49,51,12,1970-01-21 10:16:40.260000000,1970-01-21 10:17:21.493333333,Đông,,,
Lai Châu,Trung du miền núi Bắc Bộ,2025-12-06,14.344444444444443,18.64444444444445,11.68888888888889,14.766666666666667,19.077777777777776,11.644444444444444,0.4888888888888889,0.4888888888888889,0.0,3.2222222222222223,89.0,5.966666666666666,25.266666666666666,8.948888888888888,1019.1444444444444,63.44444444444444,12.433333333333332,0.0,1.5355555555555556,22.3964,103.458,5.252222222222223,10.818888888888887,12,49,3,237,1970-01-21 10:16:42.733333333,1970-01-21 10:17:21.680000000,Đông,,,
Lào Cai,Trung du miền núi Bắc Bộ,2025-12-06,16.644444444444446,18.477777777777774,15.177777777777775,17.744444444444444,19.444444444444443,16.155555555555555,0.3777777777777777,0.3777777777777777,0.0,2.888888888888889,89.77777777777777,7.588888888888889,21.344444444444445,5.904444444444445,1019.3,90.22222222222224,14.91111111111111,0.0,1.0955555555555554,22.0954,104.4233,2.2355555555555555,10.84,12,49,3,40,1970-01-21 10:16:42.466666666,1970-01-21 10:17:21.480000000,Đông,,,
Lâm Đồng,Tây Nguyên,2025-12-06,19.536363636363635,26.26363636363636,14.918181818181818,20.6,28.41818181818182,15.436363636363636,0.0,0.0,0.0,0.0,80.45454545454545,13.136363636363637,30.327272727272728,21.016363636363636,1014.818181818182,29.09090909090909,15.69090909090909,0.0,3.9354545454545455,11.6785,108.07580000000002,11.0,11.466363636363637,12,49,3,3,1970-01-21 10:16:40.450909091,1970-01-21 10:17:21.736363636,Đông,,,
Lạng Sơn,Trung du miền núi Bắc Bộ,2025-12-06,16.02,20.8,11.78,15.84,21.58,11.06,0.04,0.04,0.0,0.4,81.0,10.44,25.639999999999997,11.792,1019.86,61.0,12.56,0.0,2.1420000000000003,21.8537,106.7615,7.469999999999999,10.858,12,49,3,93,1970-01-21 10:16:41.868000000,1970-01-21 10:17:20.952000000,Đông,,,
Nghệ An,Bắc Trung Bộ,2025-12-06,21.10909090909091,23.527272727272727,19.027272727272727,22.754545454545454,24.818181818181817,20.599999999999998,3.1545454545454548,3.1545454545454548,0.0,10.090909090909092,85.9090909090909,16.10909090909091,31.6,10.316363636363636,1018.6272727272727,73.72727272727273,18.563636363636363,0.0,2.0636363636363635,18.6796,105.68129999999998,7.061818181818182,11.054545454545455,12,49,53,25,1970-01-21 10:16:41.776363636,1970-01-21 10:17:21.567272727,Đông,,,
Ninh Bình,Đồng bằng sông Hồng,2025-12-06,20.28,24.119999999999997,17.78,21.3,25.14,18.58,0.0,0.0,0.0,0.0,76.8,11.42,21.24,11.166,1019.02,63.4,15.86,0.0,2.3259999999999996,20.4191,106.0219,6.252,10.948,12,49,3,59,1970-01-21 10:16:41.892000000,1970-01-21 10:17:21.300000000,Đông,,,
Phú Thọ,Trung du miền núi Bắc Bộ,2025-12-06,20.02,23.18,17.52,21.22,23.98,18.76,0.42,0.42,0.0,3.0,78.8,11.6,22.380000000000003,9.584,1018.9,82.6,16.1,0.0,2.03,21.1958,105.3701,4.401999999999999,10.898,12,49,51,113,1970-01-21 10:16:42.132000000,1970-01-21 10:17:21.372000000,Đông,,,
Quảng Ngãi,Duyên hải Nam Trung Bộ,2025-12-06,18.339999999999996,21.2,15.9,19.16,21.74,16.72,4.4799999999999995,4.4799999999999995,0.0,13.6,90.8,18.02,46.56,13.594,1018.0,79.0,16.740000000000002,0.0,2.238,14.7379,108.4018,8.558,11.288,12,49,51,18,1970-01-21 10:16:40.692000000,1970-01-21 10:17:21.336000000,Đông,,,
Quảng Ninh,Trung du miền núi Bắc Bộ,2025-12-06,19.200000000000003,22.266666666666666,17.1,19.37777777777778,23.044444444444444,16.58888888888889,0.0,0.0,0.0,0.0,77.11111111111111,17.455555555555556,33.94444444444444,15.454444444444444,1019.3666666666666,27.666666666666668,14.922222222222224,0.0,2.898888888888889,21.0064,107.2925,10.042222222222222,10.908888888888889,12,49,3,53,1970-01-21 10:16:41.653333333,1970-01-21 10:17:20.926666666,Đông,,,
Quảng Trị,Bắc Trung Bộ,2025-12-06,21.37777777777778,23.133333333333333,19.58888888888889,23.366666666666667,24.799999999999997,21.833333333333332,9.2,9.2,0.0,16.666666666666668,89.0,16.62222222222222,35.44444444444444,7.963333333333334,1017.7333333333332,78.77777777777777,19.4,0.0,1.661111111111111,17.1046,106.8916,3.387777777777778,11.151111111111112,12,49,61,92,1970-01-21 10:16:41.313333333,1970-01-21 10:17:21.466666666,Đông,,,
Sơn La,Trung du miền núi Bắc Bộ,2025-12-06,18.154545454545453,22.40909090909091,15.38181818181818,19.336363636363636,23.89090909090909,16.28181818181818,0.7090909090909091,0.7090909090909091,0.0,3.1818181818181817,84.45454545454545,7.645454545454545,19.745454545454542,10.043636363636365,1018.5090909090908,59.27272727272727,15.327272727272726,0.0,1.8672727272727272,21.3256,103.9188,7.254545454545454,10.88818181818182,12,49,3,59,1970-01-21 10:16:42.490909091,1970-01-21 10:17:21.703636363,Đông,,,
Thanh Hóa,Bắc Trung Bộ,2025-12-06,20.327272727272728,23.463636363636365,17.954545454545453,21.490909090909092,24.60909090909091,18.87272727272727,0.12727272727272726,0.12727272727272726,0.0,1.0909090909090908,81.81818181818181,13.409090909090908,26.281818181818185,11.503636363636364,1018.9454545454545,55.72727272727273,17.009090909090908,0.0,2.2436363636363637,19.8074,105.77639999999998,8.097272727272728,10.984545454545454,12,49,51,36,1970-01-21 10:16:41.890909091,1970-01-21 10:17:21.425454545,Đông,,,
